               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.029233,            0.013149,            0.032224,             0.53911,             0.68808,             0.66281,             0.44283,            0.015224,           0.0037385,            0.017685,           0.0086882,           0.0086882,           0.0086882
                  55,            0.028029,            0.013341,            0.030179,             0.54011,             0.76343,             0.67411,             0.45873,            0.015691,           0.0036556,            0.016224,           0.0086635,           0.0086635,           0.0086635
                  56,            0.028593,            0.012978,            0.032032,              0.5836,             0.81037,             0.68525,             0.45792,            0.015494,           0.0038131,            0.015656,           0.0086388,           0.0086388,           0.0086388
                  57,            0.028904,            0.013056,            0.030304,             0.57736,              0.6989,             0.66968,             0.46335,            0.014754,           0.0037791,             0.01535,            0.008614,            0.008614,            0.008614
                  58,            0.028456,            0.012682,            0.029943,             0.60272,             0.73558,             0.69333,             0.47378,            0.014902,            0.003652,             0.01538,           0.0085893,           0.0085893,           0.0085893
                  59,            0.027921,            0.013058,            0.031123,              0.5816,             0.78826,             0.70213,             0.47062,             0.01559,           0.0036934,            0.017034,           0.0085645,           0.0085645,           0.0085645
                  60,            0.028943,            0.012841,            0.029634,             0.62507,             0.72416,             0.71127,             0.47194,            0.016273,           0.0037245,             0.01737,           0.0085398,           0.0085398,           0.0085398
                  61,            0.028458,            0.013269,            0.028909,             0.57733,             0.80815,             0.72158,             0.49493,            0.014886,           0.0036065,            0.014387,            0.008515,            0.008515,            0.008515
                  62,            0.026485,            0.012545,            0.028058,             0.58618,             0.74946,             0.71853,               0.482,            0.015946,           0.0038123,            0.015594,           0.0084903,           0.0084903,           0.0084903
                  63,            0.028183,            0.012682,            0.028915,             0.56754,             0.77783,             0.68061,             0.46172,             0.01603,           0.0037158,            0.016478,           0.0084655,           0.0084655,           0.0084655
                  64,            0.027623,             0.01302,             0.02883,             0.58285,             0.73322,             0.70333,             0.47377,             0.01646,           0.0039107,            0.015737,           0.0084408,           0.0084408,           0.0084408
                  65,            0.028052,            0.012534,            0.027972,             0.57816,             0.73312,             0.67811,             0.45352,             0.01595,           0.0040071,            0.017388,            0.008416,            0.008416,            0.008416
                  66,            0.028064,            0.012665,            0.029898,              0.5779,             0.75538,             0.70511,             0.49758,            0.014534,            0.003647,            0.015432,           0.0083913,           0.0083913,           0.0083913
                  67,            0.027652,            0.012601,            0.028993,             0.56345,             0.76327,             0.70915,              0.5011,            0.015032,           0.0037397,            0.015563,           0.0083665,           0.0083665,           0.0083665
                  68,            0.028508,            0.012706,            0.026598,             0.58454,              0.7724,             0.69897,              0.4859,             0.01461,           0.0036836,            0.015006,           0.0083418,           0.0083418,           0.0083418
                  69,            0.028187,            0.013011,            0.027509,             0.59983,             0.75274,             0.72276,             0.49376,            0.015136,           0.0036013,            0.014056,            0.008317,            0.008317,            0.008317
                  70,             0.02821,            0.012933,            0.028789,             0.64661,             0.69129,             0.70945,             0.49542,             0.01463,           0.0035391,            0.015983,           0.0082922,           0.0082922,           0.0082922
                  71,            0.026837,            0.012704,            0.027292,             0.60263,             0.72669,             0.70519,             0.48239,            0.015301,           0.0036454,            0.015039,           0.0082675,           0.0082675,           0.0082675
                  72,            0.028312,            0.012441,            0.025759,             0.60366,             0.74241,             0.70517,             0.48623,            0.015053,           0.0038098,            0.016636,           0.0082428,           0.0082428,           0.0082428
                  73,            0.029063,            0.012957,            0.027199,             0.58885,             0.76385,             0.71182,             0.50216,            0.015087,           0.0037417,            0.014708,            0.008218,            0.008218,            0.008218
                  74,            0.028433,              0.0129,            0.028012,             0.61938,             0.74026,              0.7054,              0.4914,             0.01624,           0.0036937,            0.015453,           0.0081932,           0.0081932,           0.0081932
                  75,            0.027178,            0.012643,            0.030141,             0.65965,             0.74386,             0.73832,             0.50812,            0.015157,           0.0037245,            0.015275,           0.0081685,           0.0081685,           0.0081685
                  76,             0.02698,             0.01278,            0.027723,             0.62367,             0.76815,             0.71576,             0.49626,            0.014617,           0.0036412,            0.014791,           0.0081437,           0.0081437,           0.0081437
                  77,             0.02838,            0.013114,            0.027202,             0.62939,             0.72989,             0.70183,             0.48337,            0.014664,            0.003649,            0.015281,            0.008119,            0.008119,            0.008119
                  78,            0.026808,            0.013008,            0.026673,             0.62313,             0.74337,             0.71779,             0.50543,            0.014254,           0.0035774,            0.015482,           0.0080942,           0.0080942,           0.0080942
                  79,            0.027321,            0.012891,            0.028528,             0.58458,             0.74525,             0.73131,             0.48685,            0.015079,           0.0035956,            0.015705,           0.0080695,           0.0080695,           0.0080695
                  80,            0.028719,             0.01337,            0.028615,              0.6543,             0.75984,             0.74584,             0.49742,            0.015948,           0.0037362,            0.013867,           0.0080447,           0.0080447,           0.0080447
